id;fecha;resistivity-1;capitance-4;temperature;laminar_1H;laminar_1L;capitance-5;resistivity-3;capitance-1;resistivity-2;capitance-6;resistivity-4;resistivity-5;resistivity-6;capitance-2;capitance-3;turbulent_1H;turbulent_1L;turb_laminar_1H;turb_laminar_1L;flow_regimen;resistivity-2_1H;resistivity-2_1L;watercut_1H;watercut_1L;ph;dissolved-oxygen;tss-180;tss-90;oil-water;conductivity-AC;conductivity-DC;ph_1H;ph_1L;dissolved-oxygen_1H;dissolved-oxygen_1L;tss-180_1H;tss-180_1L;tss-90_1H;tss-90_1L;temperature_1H;temperature_1L;oil-water_1H;oil-water_1L;conductivity-AC_1H;conductivity-AC_1L;conductivity-DC_1H;conductivity-DC_1L;water-quality_1H;water-quality_1L;PH_1H;PH_1L;Conductivity-AC_1H;Conductivity-AC_1L
229;2020/09/18 15:51:19;;;9110;;;;;;;;;;;;;;;;;;;;;;7100;9900;3010;4100;1110;13100;2100;;;;;;;;;;;;;;;;;;;;;;
230;2020/09/18 16:07:41;;;-7320;;;;;;;;;;;;;;;;;;;;;;3975;-85288;-880;-131;3125;23887;-418;3975;83;-85288;16;-880;49;-131;63;-7320;79;3125;08;23887;58;-418;95;-125;69;;;;
231;2020/09/18 16:09:52;;;-7157;;;;;;;;;;;;;;;;;;;;;;4268;-97830;-883;-151;2679;24824;-590;4268;03;-97830;55;-883;46;-151;03;-7157;39;2679;07;24824;93;-590;45;-177;14;;;;
232;2020/09/18 16:09:56;;;-7126;;;;;;;;;;;;;;;;;;;;;;4501;-94485;-883;-166;2594;25574;-727;4501;79;-94485;91;-883;46;-166;55;-7126;26;2594;11;25574;81;-727;65;-218;30;;;;
233;2020/09/18 16:10:03;;;-7118;;;;;;;;;;;;;;;;;;;;;;4560;-93649;-880;-170;2572;25762;-761;4560;23;-93649;76;-880;49;-170;43;-7118;48;2572;87;25762;28;-761;95;-228;59;;;;
234;2020/09/18 16:10:10;;;-7110;;;;;;;;;;;;;;;;;;;;;;4618;-92813;-877;-174;2551;25949;-796;4618;67;-92813;59;-877;52;-174;31;-7110;70;2551;63;25949;75;-796;25;-238;88;;;;
235;2020/09/18 16:10:17;;;-7102;;;;;;;;;;;;;;;;;;;;;;4677;-91977;-874;-178;2530;26137;-830;4677;11;-91977;44;-874;54;-178;19;-7102;92;2530;39;26137;22;-830;55;-249;17;;;;
236;2020/09/18 16:10:23;;;-7095;;;;;;;;;;;;;;;;;;;;;;4618;-91141;-877;-174;2509;25949;-796;4618;67;-91141;27;-877;52;-174;31;-7095;14;2509;15;25949;75;-796;25;-238;88;;;;
237;2020/09/18 16:10:30;;;-7087;;;;;;;;;;;;;;;;;;;;;;4560;-90305;-880;-170;2487;25762;-761;4560;23;-90305;12;-880;49;-170;43;-7087;36;2487;91;25762;28;-761;95;-228;59;;;;
238;2020/09/18 16:10:37;;;-7079;;;;;;;;;;;;;;;;;;;;;;4501;-89468;-883;-166;2466;25574;-727;4501;79;-89468;95;-883;46;-166;55;-7079;58;2466;68;25574;81;-727;65;-218;30;;;;
239;2020/09/18 16:10:44;;;-7071;;;;;;;;;;;;;;;;;;;;;;4443;-88632;-886;-162;2445;25387;-693;4443;35;-88632;80;-886;43;-162;67;-7071;80;2445;44;25387;34;-693;35;-208;01;;;;
240;2020/09/18 16:10:50;;;-7064;;;;;;;;;;;;;;;;;;;;;;4384;-87796;-889;-158;2424;25199;-659;4384;91;-87796;63;-889;40;-158;79;-7064;02;2424;20;25199;87;-659;05;-197;72;;;;
241;2020/09/18 16:10:57;;;-7056;;;;;;;;;;;;;;;;;;;;;;4326;-86960;-886;-154;2402;25012;-624;4326;47;-86960;48;-886;43;-154;91;-7056;23;2402;96;25012;40;-624;75;-187;43;;;;
242;2020/09/18 16:11:04;;;-7048;;;;;;;;;;;;;;;;;;;;;;4268;-86124;-883;-151;2381;24824;-590;4268;03;-86124;31;-883;46;-151;03;-7048;45;2381;72;24824;93;-590;45;-177;14;;;;
243;2020/09/18 16:11:11;;;-7040;;;;;;;;;;;;;;;;;;;;;;4209;-85288;-880;-147;2360;24637;-556;4209;59;-85288;16;-880;49;-147;15;-7040;67;2360;48;24637;46;-556;15;-166;85;;;;
244;2020/09/18 16:11:17;;;-7032;;;;;;;;;;;;;;;;;;;;;;4151;-84451;-877;-143;2339;24449;-521;4151;15;-84451;99;-877;52;-143;27;-7032;89;2339;24;24449;99;-521;85;-156;56;;;;
245;2020/09/18 16:11:24;;;-7025;;;;;;;;;;;;;;;;;;;;;;4092;-83615;-874;-139;2318;24262;-487;4092;71;-83615;84;-874;54;-139;39;-7025;11;2318;00;24262;52;-487;55;-146;27;;;;
246;2020/09/18 16:11:31;;;-7017;;;;;;;;;;;;;;;;;;;;;;4034;-82779;-877;-135;2296;24075;-453;4034;27;-82779;67;-877;52;-135;51;-7017;33;2296;76;24075;05;-453;25;-135;98;;;;
247;2020/09/18 16:11:38;;;-7009;;;;;;;;;;;;;;;;;;;;;;3975;-81943;-880;-131;2275;23887;-418;3975;83;-81943;52;-880;49;-131;63;-7009;55;2275;52;23887;58;-418;95;-125;69;;;;
248;2020/09/18 16:11:44;;;-7001;;;;;;;;;;;;;;;;;;;;;;3917;-81107;-883;-127;2254;23700;-384;3917;39;-81107;35;-883;46;-127;75;-7001;77;2254;29;23700;11;-384;65;-115;40;;;;
249;2020/09/18 16:11:51;;;-6993;;;;;;;;;;;;;;;;;;;;;;3858;-80271;-886;-123;2233;23512;-350;3858;95;-80271;20;-886;43;-123;87;-6993;99;2233;05;23512;64;-350;35;-105;11;;;;
250;2020/09/18 16:11:58;;;-6986;;;;;;;;;;;;;;;;;;;;;;3800;-79435;-889;-119;2211;23325;-316;3800;51;-79435;03;-889;40;-119;99;-6986;21;2211;81;23325;17;-316;05;-94;82;;;;
251;2020/09/18 16:12:05;;;-6978;;;;;;;;;;;;;;;;;;;;;;3742;-78598;-886;-116;2190;23137;-281;3742;07;-78598;88;-886;43;-116;11;-6978;42;2190;57;23137;70;-281;75;-84;53;;;;
252;2020/09/18 16:12:11;;;-6970;;;;;;;;;;;;;;;;;;;;;;3683;-77762;-883;-112;2169;22950;-247;3683;63;-77762;71;-883;46;-112;23;-6970;64;2169;33;22950;23;-247;45;-74;24;;;;
253;2020/09/18 16:12:18;;;-6962;;;;;;;;;;;;;;;;;;;;;;3625;-76926;-880;-108;2148;22762;-213;3625;19;-76926;55;-880;49;-108;35;-6962;86;2148;09;22762;76;-213;15;-63;95;;;;
254;2020/09/18 16:12:25;;;-6955;;;;;;;;;;;;;;;;;;;;;;3566;-76090;-877;-104;2126;22575;-178;3566;75;-76090;39;-877;52;-104;47;-6955;08;2126;85;22575;29;-178;85;-53;66;;;;
255;2020/09/18 16:12:32;;;-6947;;;;;;;;;;;;;;;;;;;;;;3508;-75254;-874;-100;2105;22387;-144;3508;31;-75254;23;-874;54;-100;59;-6947;30;2105;61;22387;82;-144;55;-43;37;;;;
256;2020/09/18 16:12:38;;;-6955;;;;;;;;;;;;;;;;;;;;;;3566;-76090;-877;-104;2126;22575;-178;3566;75;-76090;39;-877;52;-104;47;-6955;08;2126;85;22575;29;-178;85;-53;66;;;;
257;2020/09/18 16:12:45;;;-6962;;;;;;;;;;;;;;;;;;;;;;3625;-76926;-880;-108;2148;22762;-213;3625;19;-76926;55;-880;49;-108;35;-6962;86;2148;09;22762;76;-213;15;-63;95;;;;
258;2020/09/18 16:12:52;;;-6970;;;;;;;;;;;;;;;;;;;;;;3683;-77762;-883;-112;2169;22950;-247;3683;63;-77762;71;-883;46;-112;23;-6970;64;2169;33;22950;23;-247;45;-74;24;;;;
259;2020/09/18 16:12:59;;;-6978;;;;;;;;;;;;;;;;;;;;;;3742;-78598;-886;-116;2190;23137;-281;3742;07;-78598;88;-886;43;-116;11;-6978;42;2190;57;23137;70;-281;75;-84;53;;;;
260;2020/09/18 16:13:05;;;-6986;;;;;;;;;;;;;;;;;;;;;;3800;-79435;-889;-119;2211;23325;-316;3800;51;-79435;03;-889;40;-119;99;-6986;21;2211;81;23325;17;-316;05;-94;82;;;;
261;2020/09/18 16:13:12;;;-6993;;;;;;;;;;;;;;;;;;;;;;3858;-80271;-886;-123;2233;23512;-350;3858;95;-80271;20;-886;43;-123;87;-6993;99;2233;05;23512;64;-350;35;-105;11;;;;
262;2020/09/18 16:13:19;;;-7001;;;;;;;;;;;;;;;;;;;;;;3917;-81107;-883;-127;2254;23700;-384;3917;39;-81107;35;-883;46;-127;75;-7001;77;2254;29;23700;11;-384;65;-115;40;;;;
263;2020/09/18 16:13:25;;;-7009;;;;;;;;;;;;;;;;;;;;;;3975;-81943;-880;-131;2275;23887;-418;3975;83;-81943;52;-880;49;-131;63;-7009;55;2275;52;23887;58;-418;95;-125;69;;;;
264;2020/09/18 16:13:33;;;-7017;;;;;;;;;;;;;;;;;;;;;;4034;-82779;-877;-135;2296;24075;-453;4034;27;-82779;67;-877;52;-135;51;-7017;33;2296;76;24075;05;-453;25;-135;98;;;;
265;2020/09/18 16:13:39;;;-7025;;;;;;;;;;;;;;;;;;;;;;4092;-83615;-874;-139;2318;24262;-487;4092;71;-83615;84;-874;54;-139;39;-7025;11;2318;00;24262;52;-487;55;-146;27;;;;
266;2020/09/18 16:13:46;;;-7032;;;;;;;;;;;;;;;;;;;;;;4151;-84451;-877;-143;2339;24449;-521;4151;15;-84451;99;-877;52;-143;27;-7032;89;2339;24;24449;99;-521;85;-156;56;;;;
267;2020/09/18 16:13:52;;;-7040;;;;;;;;;;;;;;;;;;;;;;4209;-85288;-880;-147;2360;24637;-556;4209;59;-85288;16;-880;49;-147;15;-7040;67;2360;48;24637;46;-556;15;-166;85;;;;
268;2020/09/18 16:13:59;;;-7048;;;;;;;;;;;;;;;;;;;;;;4268;-86124;-883;-151;2381;24824;-590;4268;03;-86124;31;-883;46;-151;03;-7048;45;2381;72;24824;93;-590;45;-177;14;;;;
269;2020/09/18 16:14:06;;;-7056;;;;;;;;;;;;;;;;;;;;;;4326;-86960;-886;-154;2402;25012;-624;4326;47;-86960;48;-886;43;-154;91;-7056;23;2402;96;25012;40;-624;75;-187;43;;;;
270;2020/09/18 16:14:13;;;-7064;;;;;;;;;;;;;;;;;;;;;;4384;-87796;-889;-158;2424;25199;-659;4384;91;-87796;63;-889;40;-158;79;-7064;02;2424;20;25199;87;-659;05;-197;72;;;;
271;2020/09/18 16:14:19;;;-7071;;;;;;;;;;;;;;;;;;;;;;4443;-88632;-886;-162;2445;25387;-693;4443;35;-88632;80;-886;43;-162;67;-7071;80;2445;44;25387;34;-693;35;-208;01;;;;
272;2020/09/18 16:14:26;;;-7079;;;;;;;;;;;;;;;;;;;;;;4501;-89468;-883;-166;2466;25574;-727;4501;79;-89468;95;-883;46;-166;55;-7079;58;2466;68;25574;81;-727;65;-218;30;;;;
273;2020/09/18 16:14:33;;;-7087;;;;;;;;;;;;;;;;;;;;;;4560;-90305;-880;-170;2487;25762;-761;4560;23;-90305;12;-880;49;-170;43;-7087;36;2487;91;25762;28;-761;95;-228;59;;;;
274;2020/09/18 16:14:40;;;-7095;;;;;;;;;;;;;;;;;;;;;;4618;-91141;-877;-174;2509;25949;-796;4618;67;-91141;27;-877;52;-174;31;-7095;14;2509;15;25949;75;-796;25;-238;88;;;;
275;2020/09/18 16:14:46;;;-7102;;;;;;;;;;;;;;;;;;;;;;4677;-91977;-874;-178;2530;26137;-830;4677;11;-91977;44;-874;54;-178;19;-7102;92;2530;39;26137;22;-830;55;-249;17;;;;
